Flood,Aspect,Rainfall,CurvPlan,DEM,NDVI,FlowAccum,FlodDistH,FlodDistV,Hillshade,Slope,SPI,TWI
0,169,6896,0,703,5148,1,5643,682,107,23,13,5
0,141,6952,0,46,3760,0,2526,37,169,3,0,6
0,37,6622,1,480,7736,3,1530,322,177,21,34,6
0,340,6807,1,48,6197,0,902,41,193,5,0,6
0,307,6924,0,100,6320,0,1741,92,188,3,0,6
0,110,6785,0,742,8739,4,10891,702,94,25,56,6
0,282,6564,0,124,6929,0,2387,70,193,5,0,6
0,22,6785,0,366,7421,0,3619,321,185,5,0,6
0,345,6901,-1,957,6425,5,5991,520,233,29,85,6
0,275,6901,0,680,3756,537,6821,243,188,3,956,12
0,308,6924,0,26,4855,0,1909,24,194,5,0,6
0,87,6964,0,751,7553,1,4876,738,140,16,9,5
0,69,6640,1,879,8191,0,8430,166,160,13,0,5
0,283,6692,-2,1119,8352,12,5783,592,212,14,91,7
0,357,5543,0,1063,7750,6,4964,691,220,25,86,6
0,243,6829,0,23,6098,0,1266,20,184,4,0,6
0,110,6011,1,473,7822,0,6306,376,129,16,0,5
0,34,6411,1,236,6841,0,2320,198,182,15,0,5
0,279,6970,0,843,7851,1,1182,265,222,22,12,5
0,293,6789,1,81,5209,0,694,52,213,13,0,5
0,141,6807,0,56,4854,0,954,49,161,6,0,6
0,250,7082,0,902,8586,1,2856,733,194,31,18,5
0,327,6829,1,21,4724,0,1689,18,197,6,0,6
0,316,6886,0,25,4283,0,1773,23,185,2,0,7
0,170,5667,-1,1382,7582,8,3296,764,83,30,136,6
0,89,6678,0,26,4721,0,2513,19,170,4,0,6
0,311,6785,0,341,7950,7,3165,321,249,33,136,6
0,227,6785,1,601,8190,0,4403,556,179,7,0,5
0,37,5967,1,298,6083,0,1979,140,181,14,0,5
0,57,7058,0,847,6544,3,2706,793,160,17,28,6
0,52,7066,1,784,8332,3,3467,447,153,25,43,6
0,255,5854,1,972,6965,4,1538,282,200,32,76,5
0,174,6663,0,176,4801,2,7186,156,141,14,15,6
0,321,6651,0,216,6639,2,5886,176,237,24,27,5
0,150,6013,0,625,7553,1,2447,331,137,13,7,6
0,215,5429,0,1218,7676,11,932,340,124,37,250,6
0,278,6924,2,87,5473,0,2108,84,224,25,0,4
