Flood,FloodNew,Aspect,Rainfall,CurvPlan,DEM,NDVI,FlowAccum,FlodDistH,FlodDistV,Hillshade,Slope,SPI,TWI
0,0,0,0,1754002432,997,0,0,0,109,0,88,0,-6
0,0,148,0,2940802816,919,0,0,0,76,0,89,1,-5
0,0,145,0,-1363391872,889,0,0,0,49,0,88,1,-5
0,0,107,0,-434418592,834,0,0,0,55,0,85,3,-2
0,0,94,0,-1144942848,937,0,0,0,213,0,88,0,-6
0,0,95,0,-15310659584,857,0,0,0,132,0,89,1,-5
0,0,0,0,4649197568,1018,0,0,0,130,0,87,0,-5
0,0,154,0,-100798432,849,0,0,0,6,0,83,0,-3
0,0,163,0,-19378024,845,0,0,0,66,0,83,0,-5
0,0,171,0,823300032,806,0,0,0,27,0,79,0,-4
0,0,170,16,-99763904,799,853,0,0,20,0,81,0,-3
0,0,125,16,202809024,812,626,0,0,33,0,76,1,-1
0,0,125,0,-202814080,822,0,0,0,12,0,77,0,-3
0,0,123,0,-474211328,809,0,246,0,0,0,73,36,3
0,0,117,0,939479872,746,0,0,0,21,0,73,0,-4
0,0,108,16,466835904,852,696,0,0,42,0,86,0,-5
0,0,97,16,-521132096,806,602,246,0,0,0,76,45,3
0,0,100,16,-198562544,802,562,246,0,0,0,76,44,3
0,0,118,16,646904064,769,706,0,0,7,0,79,0,-4
0,0,25,16,-1094176256,821,626,0,0,11,62,83,0,-3
0,0,87,16,-574721472,753,693,0,0,11,0,76,0,-3
0,0,83,0,543325952,756,0,0,0,14,0,78,0,-4
0,0,118,16,-345603520,795,562,0,0,18,0,59,1,1
0,0,109,16,359302976,775,549,0,0,22,0,75,0,-4
0,0,161,16,-576271104,757,598,0,0,4,0,63,1,0
0,0,153,16,763065344,759,598,0,0,6,0,74,0,-4
0,0,119,16,551211200,755,598,0,0,13,0,77,0,-4
0,0,21,16,1199910784,788,674,0,0,63,73,87,0,-6
0,0,24,17,458966208,631,751,0,0,49,65,84,0,-5
0,0,304,17,-2121062528,629,765,0,0,0,177,85,1,-3
0,0,85,16,1101631488,847,526,0,0,81,0,88,0,-5
0,0,89,16,87218968,816,575,0,0,50,0,87,1,-5
0,0,6,0,-360071552,968,0,0,0,202,112,89,2,-6
0,0,343,0,1982237312,775,0,0,0,193,159,89,1,-6
0,0,37,16,-1373166848,944,593,0,0,213,24,89,1,-6
0,0,350,17,-1154679552,913,608,0,0,277,146,88,0,-6
0,0,4,17,3670294784,941,676,0,0,358,118,89,1,-6
0,0,135,0,-383494272,1090,0,0,0,285,0,85,0,-5
0,0,0,16,1733150848,1097,688,0,0,292,0,87,0,-5
0,0,130,17,4078763776,771,717,0,0,137,0,88,1,-5
0,0,36,0,1745694080,1089,0,0,0,507,28,89,0,-7
0,0,88,0,2498889216,1111,0,0,0,306,0,88,0,-5
0,0,100,0,4506353664,1094,0,0,0,289,0,87,0,-6
0,0,267,16,3822810112,932,710,0,0,127,120,74,0,-4
0,0,155,0,-5860354048,1004,0,0,0,198,0,88,1,-4
0,0,216,0,3868926208,1016,0,0,0,210,0,88,0,-6
0,0,167,0,-259349456,929,0,0,0,123,0,88,2,-4
0,0,72,0,4806401536,1001,0,0,0,195,0,86,0,-5
0,0,187,16,2256898304,912,678,0,0,106,0,86,0,-5
0,0,218,16,2706960384,923,776,0,0,117,0,85,0,-5
0,0,216,16,-1253095552,892,697,0,0,134,0,88,1,-5
0,0,231,0,-2613252096,870,0,0,0,112,18,88,1,-5
0,0,200,16,3809213440,842,764,0,0,36,0,78,0,-4
0,0,265,16,1771700992,741,684,0,0,16,114,86,0,-5
0,0,266,16,2119157376,765,709,0,0,39,117,88,0,-6
0,0,185,16,-1588155904,842,688,0,0,36,0,80,18,1
0,0,322,16,6952924160,831,709,0,0,103,178,86,0,-5
0,0,19,16,853294656,837,748,0,0,32,79,84,0,-5
0,0,294,16,4036010496,829,820,0,0,55,168,85,0,-5
0,0,0,0,737404416,854,0,0,0,63,0,82,0,-5
0,0,287,0,615631104,924,0,0,0,224,159,88,0,-6
0,0,0,16,176323888,844,0,0,0,53,0,68,0,-3
0,0,273,16,3419822080,935,668,0,0,234,135,88,0,-6
0,0,0,16,3420408064,1138,0,0,0,262,0,88,0,-6
0,0,0,16,2130668928,1018,2102,0,0,202,0,87,0,-6
0,0,0,0,-120884672,867,0,0,0,101,0,82,0,-4
0,0,0,16,2647345664,1035,287,0,0,229,0,88,0,-6
1,2,98,24,120602144,4,951,0,0,0,0,46,0,-3
1,2,242,24,379482432,7,1600,0,0,5,53,40,0,-2
1,1,27,23,-172800112,31,783,0,0,7,57,3,0,5
1,3,0,24,0,5,1564,0,0,0,0,18,0,-2
1,3,100,24,109553560,8,1213,0,0,6,0,42,0,-3
1,3,95,24,-121387864,7,1213,0,0,5,0,40,1,2
1,3,86,24,140980992,9,844,0,0,7,0,63,0,-3
1,4,296,24,-220380816,2,1445,0,0,0,170,61,4,2
1,3,0,24,1294364,6,1676,0,0,0,0,29,0,-2
1,3,0,24,-72000000,4,0,0,0,0,0,10,0,1
1,2,78,24,155140064,9,1050,0,0,7,0,67,0,-4
1,2,80,24,-750724992,3,1588,0,0,2,0,71,0,-2
1,3,110,24,183600144,17,803,0,0,4,0,25,0,-2
1,3,144,24,77760088,7,1108,0,0,4,0,6,0,0
1,3,76,24,64521832,7,1404,0,0,4,0,32,0,-2
1,3,145,24,144000000,6,2071,0,0,4,0,11,0,-1
1,2,131,24,-43199984,7,1089,0,0,3,0,50,0,-3
1,2,207,24,388750144,6,1295,0,0,2,0,22,0,-2
1,3,69,24,408239968,15,893,0,0,7,0,39,0,-2
1,1,184,24,-232233408,4,1295,5,0,0,0,26,33,7
1,4,261,24,0,3,1699,7,0,0,106,42,67,6
1,2,177,24,481189440,8,3640,0,0,8,0,34,0,-2
1,2,257,24,-842170688,2,1925,0,0,2,96,65,0,-2
1,4,288,24,405653984,5,2486,0,0,2,160,49,0,-3
1,2,177,24,28528306,5,1730,0,0,3,0,36,0,-2
1,4,278,24,-496800064,4,1742,0,0,2,143,29,0,1
1,2,185,24,1152000128,8,1742,0,0,0,0,37,0,-2
1,4,346,24,-723599808,12,880,9,0,0,154,30,9,5
1,4,314,24,0,0,624,0,0,0,180,37,0,0
1,3,111,24,-133463520,15,910,0,0,0,0,54,0,0
1,1,45,24,0,0,591,13,0,0,0,22,4,5
1,3,82,24,-158968656,6,1363,0,0,3,0,37,0,-2
1,4,303,24,-315171136,6,1068,0,0,3,176,37,1,2
1,4,328,24,208892848,7,1363,0,0,5,175,44,0,-3
1,3,50,24,-74252016,7,1280,0,0,7,0,58,0,-3
1,4,287,24,-347929440,4,1278,0,0,4,158,57,0,-2
1,3,44,24,35537392,8,1280,0,0,8,1,59,0,-3
1,4,316,24,271603968,6,1278,0,0,6,180,50,0,-3
1,2,195,24,-88968136,4,0,0,0,4,0,44,0,-3
1,2,223,24,17124298,5,0,0,0,5,0,40,0,-2
1,2,222,23,806400896,178,1126,0,0,3,0,33,0,-2
1,2,133,24,191660160,15,0,0,0,0,0,40,0,-3
1,1,155,24,-159676816,11,0,0,0,0,0,49,4,3
1,3,43,24,636480000,12,929,0,0,0,6,45,0,-3
1,3,8,24,95277912,13,867,0,0,0,109,50,0,-2
1,2,214,24,-430757152,175,1642,0,0,72,0,72,2,0
1,2,193,24,82800072,11,848,0,0,5,0,22,0,-2
1,3,119,24,-15507616,15,854,0,0,9,0,17,0,-2
1,3,98,24,403200160,15,854,0,0,10,0,42,0,-3
1,2,137,24,8090888,17,844,0,0,4,0,42,0,-3
1,3,114,24,-321314432,12,856,0,0,7,0,48,0,-1
1,1,47,24,88052376,11,860,16,0,0,0,42,393,8
1,2,152,24,70664024,15,858,0,0,2,0,52,0,-3
1,3,34,24,86399784,12,860,0,0,3,33,37,0,-2
1,1,24,24,36858536,17,854,16,0,0,65,55,619,7
1,3,54,24,-334395424,41,926,0,0,30,0,51,0,-1
1,3,56,24,59904176,40,922,0,0,2,0,40,0,-2
1,1,99,24,-603640640,38,890,16,0,0,0,46,454,8
1,3,88,24,-144592928,28,841,0,0,19,0,41,0,-1
1,3,113,24,69669112,28,841,0,0,19,0,42,0,-3
1,3,128,24,34116796,25,834,0,0,16,0,37,0,-2
1,3,127,24,-34560296,19,820,0,0,10,0,27,0,-1
1,1,45,22,24111516,133,1081,15,0,0,1,67,16,3
1,1,184,24,-224044240,13,836,0,0,4,0,34,2,3
1,4,287,24,-2265806592,106,1232,20,0,0,159,86,285,2
1,4,330,24,397694240,8,0,0,0,0,174,40,0,-2
1,2,148,24,71703592,6,0,0,0,1,0,24,0,-2
1,1,85,24,-353645632,3,923,23,0,0,0,62,171,6
1,3,54,24,8483332,4,923,0,0,3,0,51,1,1
1,1,126,22,-1241281280,124,1062,0,0,3,0,55,6,3
1,2,143,24,195714576,56,981,0,0,3,0,54,0,-3
1,1,60,24,-95040208,14,854,21,0,0,0,15,2,5
1,3,23,24,-299647488,8,838,0,0,0,67,45,0,-1
1,4,321,24,-89769184,6,1084,0,0,4,179,56,0,-3
1,4,353,24,-370867744,58,1123,0,0,4,141,56,4,2
1,3,8,21,282710400,154,872,0,0,4,107,48,0,-3
1,4,355,21,45347016,156,872,0,0,6,137,68,0,-3
1,2,236,21,80261048,129,1031,0,0,6,34,65,0,-3
1,2,193,21,-484447776,127,1028,0,0,4,0,67,0,-2
1,1,34,24,174330576,19,1011,32,0,0,33,46,58,6
1,3,48,24,-175175312,18,1011,0,0,1,0,19,0,0
1,1,167,23,-447583680,67,1052,34,0,0,0,18,129,9
1,1,105,21,-823109696,141,893,0,0,3,0,69,11,2
1,4,323,23,-100384576,64,846,0,0,1,178,58,1,1
1,4,349,23,-439201408,64,865,0,0,1,149,53,1,1
1,3,57,23,381860288,74,1042,0,0,7,0,67,0,-4
1,4,348,23,-689453760,66,865,0,0,3,151,71,1,0
1,2,94,23,887173760,79,1012,0,0,5,0,70,0,-4
1,3,66,23,296702048,74,842,0,0,3,0,54,0,-2
1,3,66,23,30566010,74,842,0,0,3,0,56,0,-3
1,3,57,24,432000000,8,0,0,0,3,0,47,0,-3
1,3,28,24,70832440,8,1106,0,0,0,51,41,0,-3
1,1,137,23,-554136768,106,901,28,0,0,0,47,77,6
1,1,70,24,-223194240,25,915,39,0,0,0,57,26,4
1,2,87,24,563046528,13,884,0,0,5,0,71,0,-4
1,1,70,24,-309084128,8,884,38,0,0,0,66,15,3
1,2,190,23,1213910528,107,954,0,0,8,0,80,0,-4
1,3,169,23,417233632,92,965,0,0,6,0,7,0,-1
1,3,104,24,1014248512,47,990,0,0,10,0,52,0,-3
1,2,133,24,107299840,43,990,0,0,5,0,63,0,-3
